name,from,address,square_metre,price,type,rooms_amount,link
Koselig 5-roms (4 soverom) leilighet ledig MIDT i Bergen sentrum! Se 3D-visning via link i annonsen.,Privat,"MARKEN 20, Bergen",90,21000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=306581020
"Flere rom ledige i moderne kollektiv midt i Bergen sentrum, 2 minutter unna UiB! Se 3D-visningen via link i annonsen!",Privat,"HANS HOLMBOES GATE 15 A, Bergen",10,5650,Rom i bofellesskap,9,https://www.finn.no/realestate/lettings/ad.html?finnkode=306473378
Ny og møblert i sentrum - Ingen husleie 15.06 til 15.08,Privat,"BORGERMESTER PLATOUS GATE 7, Bergen",45,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=270140876
Møblert leilighet fra 2022 i sentrum - Ingen husleie om sommeren,Privat,"BORGERMESTER PLATOUS GATE 7, Bergen",50,17500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=267054799
Møblert toppleilighet i sentrum - ingen husleie fra 15.06 til 13.08 hver år,Hybel.no,"Nygårdsgaten 94, Bergen",38,16500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310787826
1-ROMS - FIN LEILIGHET -  MIDT I SENTRUM AV BERGEN,Utleiemegleren Bergen,"Vaskerelven 33, Bergen",0,9800,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310787537
SENTRUM - 4 SOVEROM - MIDT I BERGEN,Utleiemegleren Bergen,"Skivebakken 8, Bergen",0,24000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=310773541
Super flott kollektiv midt i Bergen Sentrum - internett via fiber inkludert,Privat,"FOSSWINCKELS GATE 11, Bergen",15,6700,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310726458
Lys 2-roms sentralt beliggende på Nygårdshøyden,Privat,"Allégaten 24, Bergen",32,14000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=222550138
1 ledig rom i student bofelleskap,Privat,"Skostredet  18, Bergen",12,5600,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=301908361
Pen 2-roms leilighet på Nygårdshøyden,Privat,"Fosswinckels gate 57, Bergen",40,15000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=106350472
JENTEKOLLEKTIV | 6 av 7 rom ledig | 2 moderne og fine bad | Fibernett inkludert i leien.,Privat,"KONG OSCARS GATE 79, Bergen",12,4990,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=302582961
"Rom i bofellesskap, Olav Kyrres Gate 44, Bergen",Hybel.no,"Olav Kyrres Gate 44, Bergen",20,4600,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=267986548
"Leilighet, Nygårdshøyden, møblert, kr 10900",Hybel.no,"Olav Kyrres Gate 44, Bergen",40,10900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=303597121
"Midt i sentrum opp mot Nygårdshøyden, leilighet til leie for to personer",Hybel.no,"Olav Kyrres Gate 44, Bergen",55,13900,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310655788
SENTRUM - Pen 2 roms leilighet,Privat,"SKIVEBAKKEN 13, Bergen",40,13500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310564124
"Nydelig 3-roms leilighet i Bergens fineste gate, like ved UiB, BI & Studentsenteret! TV/Internett inkludert",Privat,"Parkveien 2A, Bergen",65,21000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=87418294
Flott bolig med flere leiligheter ledige fra 01.08 |Fiber inkludert | Delvis møblert | Mulighet for 3D visning,Privat,"Nygårdsgaten 60, Bergen",10,4500,Rom i bofellesskap,10,https://www.finn.no/realestate/lettings/ad.html?finnkode=310373140
3D Visning - Jentekollektiv og delte kollektiv Bergen Sentrum,Privat,"KONG OSCARS GATE 79, Bergen",15,5250,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=266973316
2 rom leies ut i bofellskap,Privat,"Vestre torggaten 16, Bergen",7,6000,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310360876
Ny og møblert i sentrum - Ingen husleie mellom 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",50,17000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310302516
Ny og møblert i sentrum - Ingen husleie 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",40,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310301421
Nyoppussede leiligheter i sentrum - Ingen husleie fra 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",35,14900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310300582
Nygårdshøyden,Privat,Bergen,63,11000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=306399905
BERGEN SENTRUM – Moderne studioleilighet med tv og internett inkl.,Utleiemegleren Bergen,"Lyder Sagens gate 8, Bergen",22,11800,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310242647
Nyoppusset sentrumsleilighet nær Marken,Privat,"ASYLPLASSEN 11, Bergen",64,14500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=91177480
Sentral 2-roms leilighet til leie i Skivebakken. Perfekt for studenter!,Utleiemegleren Bergen,"Skivebakken 8, Bergen",0,13500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310185103
Leilighet på Nygårdshøyden,Privat,Bergen,88,13000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310124306
Nygårdshøyden - Stor leilighet med sentral beliggenhet,Utleiemegleren Bergen,"Fosswinckels gate 21, Bergen",0,15500,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310022929
Møblert leilighet med 3 soverom + balkong - ingen husleie om sommeren,Hybel.no,"Nygårdsgaten 94, Bergen",80,25500,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=309999874
To ledige rom i tremannskollektiv i toppleilighet med utsikt over Bergen Sentrum,Privat,"LEITET 15, Bergen",11,5000,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=309933614
Nyoppussede leiligheter i sentrum - Ingen husleie fra 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",35,15000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=301373715
"Nyoppusset leilighet med fransk balkong - I umiddelbar nærhet til UIB, BI og HIB",Hybel.no,"Nygårdsgaten 94, Bergen",50,15500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=301946962
Ny og møblert i sentrum - Ingen husleie 15.06 til 15.08,Hybel.no,"Borgermester Platous Gate 7, Bergen",40,16500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=301374251
Sentral 4-roms toppleilighet midt i Bergen.,Utleiemegleren Bergen,"Erik Pontoppidans gate 1, Bergen",0,18000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=309904849
"Nyoppusset leilighet med hyggelig balkong - Like ved UIB, BI og HIB",Hybel.no,"Nygårdsgaten 94, Bergen",42,15900,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=309889863
SENTRALT,Hybel.no,"Nygårdsgaten 39, Bergen",11,6500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=309852265
SENTRALT,Hybel.no,"Nygårdsgaten 62, Bergen",7,5500,Rom i bofellesskap,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=309852240
SENTRALT // ALT INKLUDERT,Hybel.no,"Lyder Sagens Gate 21, Bergen",10,6100,Rom i bofellesskap,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=266760421
Flere soverom ledige i kollektiv MIDT i Bergen sentrum!,Privat,"ØSTRE SKOSTREDET 12, Bergen",10,5450,Rom i bofellesskap,7,https://www.finn.no/realestate/lettings/ad.html?finnkode=309770240
Koselig 5-roms (4 soverom) leilighet ledig MIDT i Bergen sentrum! Se 3D-visning via link i annonsen.,Privat,"MARKEN 20, Bergen",100,21000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=309769556
Koselig 5-roms (4 soverom) leilighet ledig MIDT i Bergen sentrum! Se 3D-visning via link i annonsen.,Privat,"MARKEN 8, Bergen",80,21000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=302296620
"Flere rom ledige i moderne kollektiv midt i Bergen sentrum, 2 minutter unna UiB! Se 3D-visningen via link i annonsen!",Privat,"HANS HOLMBOES GATE 15 A, Bergen",10,5650,Rom i bofellesskap,9,https://www.finn.no/realestate/lettings/ad.html?finnkode=306580524
"[2 stk rom ledig i bokollektiv, rett ved Grieghallen]",Privat,"HANS HOLMBOES GATE 6, Bergen",10,6300,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=309701819
2 rom i bofellesskap til leige,Privat,"RICHARD NORDRAAKS GATE 5, Bergen",135,6500,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=87744675
1 rom i bofellesskap ledig midt i Bergen sentrum,Privat,"Marken 21, Bergen",102,6400,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=261899470
Nyoppusset leilighet med fransk balkong - møblert,Hybel.no,"Nygårdsgaten 94, Bergen",50,15900,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=309343649
"Nyoppusset leilighet med fransk balkong - I umiddelbar nærhet til UIB, BI og HIB",Hybel.no,"Nygårdsgaten 94, Bergen",45,14900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=309341990
Bergen sentrum. Flott sentral leilighet i moderne bygg.,Privat,"NYGÅRDSGATEN 53, Bergen",40,13500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=73405941
Strøken leilighet med høy standard og alt inkludert sentralt i rolig gate i Bergen Sentrum,Privat,"Hans Tanks Gate 7, Bergen",42,16500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=308912285
Stort rom i meget trivelig kollektiv på Nygårdshøyden- kort vei til alt,Privat,"Allegaten 2, Bergen",11,6200,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=308739759
Super-sentral og trivelig leilighet rett ved Grieghallen,Hybel.no,"Sekkegaten 4, Bergen",25,13000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=308613138
SE VIDEO | Svært fin 2-roms leilighet sentralt i Sentrum - toppleilighet,Bruviks Eiendommer AS,"Olav kyrresgate 36, Bergen",60,15000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=308572034
* Rom i bofellesskap midt i Bergen sentrum,Privat,"STRØMGATEN 28, Bergen",120,5900,Rom i bofellesskap,6,https://www.finn.no/realestate/lettings/ad.html?finnkode=302867794
Flott kollektiv midt i sentrum - Internett via Fiber inkludert!,Privat,"Fosswinckels gate 11, Bergen",15,6700,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=307817067
To-roms leilighet med sentral beliggenhet i Bergen!,MALLING & CO RESIDENTIAL AS,"HANS TANKS GATE 5, Bergen",40,14900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=307314662
Pen leilighet med 5 soverom til leie i Bergen sentrum,MALLING & CO RESIDENTIAL AS,"HANS TANKS GATE 5, Bergen",100,33000,Leilighet,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=307306706
Ledig rom i hyggelig og sentral studentkollektiv i Bergen sentrum,Privat,"ROSENBERGSGATEN 36 A, Bergen",150,5500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=300674888
Midt i sentrum opp mot Nygårdshøyden tre rom i bofellesskap til leie. 4600/5200,Privat,"Olav Kyrresgt. 44, Bergen",16,4600,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=306910398
Leilighet med 5 soverom til leie i Bergen sentrum! Inkl. Bredbånd,MALLING & CO RESIDENTIAL AS,"HANS TANKS GATE 5, Bergen",63,31500,Leilighet,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=305716686
Leilighet på over 200 m2. Midt på Torgalmenningen. Unik mulighet for studenter,DNB Næringseiendom,"Starvhusgaten 2, Bergen",208,28000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=300475348
Nygårdshøyden - Sentral beliggende leilighet med 1 soverom - Sentral beliggenhet!,Utleiemegleren Bergen,"Fosswinckels gate 21, Bergen",34,11000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=294981222
Rimelig parkering i Bergen Sentrum/Sandviken/Danmarksplass(nær Haukeland),K2 PROSJEKTER ,Bergen,1,890,Andre,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=250514870
"Fullt møblert 2-roms, strøm og alle kostnader inkl, fleksibel leieperiode",Forenom AS,"LYDER SAGENS GATE 5, Bergen",34,31000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=222347325
Nye leiligheter til leie på ukesbasis,Amal AS,"NYGÅRDSGATEN 29, Bergen",100,30000,Leilighet,4,https://www.finn.no/realestate/lettings/ad.html?finnkode=168340106
"Fullt møblert 2-roms, Strøm og alle kostnader inkl, fleksibel leieperiode",Forenom AS,"LYDER SAGENS GATE 5, Bergen",36,31200,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=163617626
"Sentral 3-roms, fullt møblert og utstyrt. WiFi & strøm inkludert i leie!",Forenom AS,"LYDER SAGENS GATE 5, Bergen",65,38200,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=163615923
1 person? Sentral beliggenhet og internett via fiber inkludert,jr Norge - Fosswinckelsgate 11 AS,"FOSSWINCKELS GATE 11, Bergen",14,7200,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=151662858
Enkeltrom 1.8 i fjerde et.? Internett via fiber inkludert,jr Norge - Fosswinckelsgate 11 AS,"FOSSWINCKELS GATE 11, Bergen",10,6000,Hybel,8,https://www.finn.no/realestate/lettings/ad.html?finnkode=149416320
Enkeltrom 1.8 i tredje et.? Internett via fiber inkludert,jr Norge - Fosswinckelsgate 11 AS,"FOSSWINCKELS GATE 11, Bergen",10,6000,Rom i bofellesskap,9,https://www.finn.no/realestate/lettings/ad.html?finnkode=149321573
