name,from,address,square_metre,price,total_price,fellesutg,owner?,type,rooms_amount,visning,link
Landås | Herlig og sentral 4-roms med god standard og bra planløsning. Like ved Haukeland sykehus. Parkering og balkong.,EIE eiendomsmegling Bergen Sør,"Vognstølen 1, Bergen",63,3690000,3791270,250,Eier (Selveier),Leilighet,3,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=299718951
Minde - Flott 3-roms hjørneleilighet med fin utsikt og god beliggenhet. Bussholdeplass like ved. Nærhet til studieinstitusjoner.,PrivatMegleren Vikebø & Jørgensen,"Kristian Bings vei 7, Bergen",65,2690000,2781435,4500,Aksje,Leilighet,2,"24. juli, kl 15:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311281052
Villa Høye - Urbant leilighetsprosjekt med spennende og historisk arkitektur på ærverdige Høyegaarden. 6 solgt!,PrivatMegleren Vikebø & Jørgensen Nybygg,"Gyldenprisveien 16, Bergen",113,7700000,7707132,0,Andel,Leilighet,0,"26. juli, kl 14:00",https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=307459500&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=2&sort=PUBLISHED_DESC
Sandviken | Flott og attraktiv leilighet med solrik balkong! 10 min gåtur til sentrum og turmuligheter like utenfor.,EIE eiendomsmegling Bergen Sør,"Repslagergaten 22, Bergen",41,3390000,3485370,2035,Eier (Selveier),Leilighet,2,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311278883
Nydelig 3-roms sentralt og skjermet i hjertet av vakre Bergen | Privat balkong | Et steinkast unna alle servicetilbud!,Garanti Eiendomsmegling Bergen,"Lille Øvregaten 28B, Bergen",59,3990000,4090920,0,Eier (Selveier),Leilighet,2,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311271301
"Bergen Sentrum - Sjarmerende og arealeffektiv leilighet i et ettertraktet boområde! Innglasset balkong, IN-ordning og felles p-plass",Nordvik Bergen,"Kalfarveien 22, Bergen",35,1900000,2428582,5607,Andel,Leilighet,0,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=304101679
Nøstet | Lekker leilighet i nyere bygg i sentrum - Felles takterrasse og heis - Gjennomgående god standard,EIE nybygg Bergen,"Baneveien 37, Bergen",30,2990000,3073770,1109,Eier (Selveier),Leilighet,0,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311248907
Flott og arealeffektiv 2-roms leilighet med sentral beliggenhet på Nordnes/Nøstet. Gangavstand til bla. BI og UiB.,EiendomsMegler 1 Bergen,"Skottegaten 15, Bergen",37,2290000,2577938,4124,Andel,Leilighet,1,"26. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311247696
Minde - Løvstakken - To sentrale 4-roms toppleiligheter med 2 garasjeplasser hver! Flott utsikt mot Ulriken. Kort vei til nytt bybanestopp,KALAND & PARTNERS NYBYGG AS,"Løbergsveien 95 D-F, Bergen",0,0,0,0,Eier (Selveier),Leilighet,3,0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=248772561&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=2&sort=PUBLISHED_DESC
"Kalfaret - Nydelig 2-roms leilighet i nærheten av alt | Balkong, heis og fast garasjeplass | Bybanen og Bergen sentrum like ved.",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Kalfarveien 68, Bergen",52,3490000,3758032,4962,Andel,Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311244465
Sentrum | Lekker 3-roms leilighet med balkong og god planløsning. Heis i bygget og kort vei til alt!,EIE eiendomsmegling Bergen Sentrum,"Lars Hilles gate 11, Bergen",62,3990000,4100370,3317,Eier (Selveier),Leilighet,2,Visning i dag kl 10:30,https://www.finn.no/realestate/homes/ad.html?finnkode=311202857
Perfekt førstegangsleilighet. Arealeffektiv studioleilighet m/sovealkove. 12 min gange til Torgallmenningen,Nordvik Bergen,"Sparresgaten 2, Bergen",25,1950000,2000092,800,Eier (Selveier),Leilighet,0,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311163227
"Bergen sentrum - Flott studioleilighet med hems midt i Bergen sentrum | Kort avstand til UiB, BI, og gode bussforbindelser til NHH og HVL",Kaland & Partners - Vestland Eiendomsmegling,"Rosenbergsgaten 40, Bergen",24,2490000,2563492,1106,Eier (Selveier),Leilighet,0,"25. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311169387
Sentrum/Nøstet - Knallfin 3-roms med god planløsning i koselig smau. Supersentral beliggenhet med kort vei til UiB og BI.,PrivatMegleren Vikebø & Jørgensen,"Nedre Banesmauet 6, Bergen",38,3190000,3200032,2000,Andel,Leilighet,2,"24. juli, kl 15:15",https://www.finn.no/realestate/homes/ad.html?finnkode=311169197
Kronstad - Sentral 3-roms selveier med solrik balkong rett ved HVL | Attraktiv beliggenhet | Parkering på eiendommen.,PrivatMegleren Vikebø & Jørgensen,"St. Olavs vei 19, Bergen",63,2700000,2778142,1500,Eier (Selveier),Leilighet,2,"25. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311166485
Kronstad - Lekker 3-roms leilighet med god beliggenhet rett ved HVL - God standard - Vestvendt balkong - Kort vei til sentrum,PrivatMegleren Vikebø & Jørgensen,"St. Halvards vei 25A, Bergen",59,3450000,3693099,4967,Andel,Leilighet,2,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311140656
"Kronstad - Flott 2-roms med sentral beliggenhet | Gangavstand til bybane, butikk og HVL | Varmtvann inkl i fellesutg.",Fana Sparebank Eiendom,"Sivles gate 8, Bergen",26,2090000,2151920,1844,Eier (Selveier),Leilighet,1,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=311135640
Damsgårdssundet - Moderne og sentrumsnær 2-roms toppleilighet på Damsgårdssundet. Felles takterrasse med gode solforhold!,Kaland & Partners - Torgallmenningen Eiendomsmegling,"Damsgårdsveien 101, Bergen",41,3750000,3862761,1914,Eier (Selveier),Leilighet,1,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311134104
Bergen sentrum - Byens flotteste studentbolig? Bo i 1 og lei ut minst 2 soverom. Totalrenovert m/lekre kvaliteter og nærmere 3m takhøyde,Kaland & Partners - Torgallmenningen Eiendomsmegling,"Nygårdsgaten 72C, Bergen",78,5990000,6150992,0,Eier (Selveier),Leilighet,3,"24. juli, kl 16:30",https://www.finn.no/realestate/homes/ad.html?finnkode=306771900
"Damsgård - Nydelig 3-roms leilighet med kort vei til sentrum og studietilbud - 2 store soverom - 2,88 m takhøyde - Parkering",PrivatMegleren Vikebø & Jørgensen,"Damsgårdsveien 170, Laksevåg",60,2890000,2972892,1000,Eier (Selveier),Leilighet,2,Visning i dag kl 12:00,https://www.finn.no/realestate/homes/ad.html?finnkode=311118168
Sentrum/Nøstet - Lekker og arealeffektiv selveierleilighet i rolig og sjarmerende gate. Modernisert i 2017. Gangavstand til UIB og BI.,Krogsveen Bergen Sentrum,"Gamle Nøstegaten 11, Bergen",27,2600000,2666170,494,Eier (Selveier),Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=310809587
Sandviken - Nyrenovert tre-roms selveiende toppleilighet med gjennomgående høy standard. Felles terrasse. Gangavstand til sentrum.,Privatmegleren Vest,"Professor Dahls gate 27, Bergen",69,5500000,5648142,0,Eier (Selveier),Leilighet,2,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=311051621
"Sentrum/Nordnes - Lekker 2-roms leilighet med god beliggenhet i fredelig og bilfri gate ""midt i byn"" - Kort vei til UIB og BI",PrivatMegleren Vikebø & Jørgensen,"Knøsesmauet 21, Bergen",32,2890000,2973492,1252,Eier (Selveier),Leilighet,1,"24. juli, kl 15:15",https://www.finn.no/realestate/homes/ad.html?finnkode=311011998
"Sentrum/Nøstet - Lekker 3-roms leilighet med god standard - Sentral beliggenhet med kort vei til ""alt"" - Gangavstand til UIB og BI",PrivatMegleren Vikebø & Jørgensen,"Nøstegaten 71A, Bergen",44,3490000,3590012,750,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=311009352
Sandviken - Knallfin 2-roms i attraktivt nabolag. Kort vei til sentrum og NHH. God planløsning og ekstra takhøyde.,PrivatMegleren Vikebø & Jørgensen,"Aad Gjelles gate 19, Bergen",42,2980000,3004892,2607,Andel,Leilighet,1,"24. juli, kl 14:15",https://www.finn.no/realestate/homes/ad.html?finnkode=310909089
"Lys og fin toppleilighet med et gulvareal på ca. 55 kvm. Nærhet til ""alt"".",PrivatMegleren Vikebø & Jørgensen,"Skrivergaten 29, Bergen",33,2590000,2665992,759,Eier (Selveier),Leilighet,1,"27. juli, kl 16:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310871496
"BERGEN SENTRUM - Meget tiltalende og smakfull 2-roms eierleilighet med herlig beliggenhet i Fjellsiden, like ovenfor sentrumskjernen.",W Eiendomsmegling Bergen Sentrum As,"Fjellgaten 21, Bergen",38,3190000,3280607,854,Eier (Selveier),Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310804796
"Nydelig 2-roms med 38 kvm gulvareal, god standard, særpreg, fransk balkong, sjøutsikt og kort vei til alt!",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Nye Sandviksveien 82, Bergen",27,2550000,2624992,200,Eier (Selveier),Leilighet,1,"26. juli, kl 14:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310831193
Sentrum - Praktisk og fin 3-roms leilighet i sjelfull bygård beliggende midt i sentrum. Perfekt for studenter og som utleieobjekt,Eiendomsmegler Vest Åsane Bergen,"Sigurds gate 5, Bergen",47,3890000,3998920,1169,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310810525
Melkeplassen | Romslig 3-roms leilighet m/god planløsning. Balkong med flott utsikt. Heis og fast garasjeplass m/lader!,EIE eiendomsmegling Bergen Sentrum,"Klauvsteinen 101, Fyllingsdalen",96,2990000,3646488,7465,Andel,Leilighet,2,"27. juli, kl 13:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310822324
"Nordnes - Lys og innholdsrik leilighet på vakre Nordnes | 2 soverom | Kort vei til ""alt"" Bergen sentrum har å tilby.",DNB Eiendom AS,"Strangehagen 20, Bergen",44,3600000,3895941,2986,Eier (Selveier),Leilighet,2,0,https://www.finn.no/realestate/homes/ad.html?finnkode=310656436
BERGEN SENTRUM - Attraktiv 2-roms leilighet med god planløsning midt i Bergen sentrum|Nye gulv og malt i 2023|Heis|Ingen dok.avgift.,W Eiendomsmegling Bergen Sentrum As,"Jernbanebakken 3, Bergen",60,3590000,4605,0,Andel,Leilighet,1,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310786609
"Dokken | Unik arkitekttegnet 2-roms leilighet med egen balkong, gode solforhold og smarte løsninger - kort vei til alt!",EIE eiendomsmegling Bergen Sentrum,"Torborg Nedreaas' gate 20, Bergen",60,3490000,3676175,4078,Aksje,Andre,1,"27. juli, kl 16:30",https://www.finn.no/realestate/homes/ad.html?finnkode=304617156
En lekker 3-roms leilighet med vestvendt altan | Kort avstand til Sentrum og Haukeland Sykehus| Nydelig utsikt,EiendomsMegler 1 Bergen,"Fløenbakken 6B, Bergen",76,4890000,5010920,369,Eier (Selveier),Leilighet,2,"29. juli, kl 11:30",https://www.finn.no/realestate/homes/ad.html?finnkode=306384458
"Danmarksplass - Lys og trivelig 2-roms rett ved bybane og ""alt"" av fasiliteter",DNB Eiendom AS,"Ibsens gate 24, Bergen",54,2990000,3196485,4200,Aksje,Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310471361
"Usedvanlig nydelig 4-roms bygårdsleilighet med moderne kvaliteter, generøs takhøyde og vakre lysforhold. Ingen dok. avg.",Proaktiv Sandviken,"Kong Oscars gate 60, Bergen",64,4300000,4402790,4171,Andel,Leilighet,3,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310715959
"Mindemyren - Sentral og solrik beliggenhet i Bergen, inntil Solheimsvatnet og nytt parkområde",Selvaag Bolig AS,"Kanalveien 46-48, Bergen",0,0,0,0,Eier (Selveier),Leilighet,3,0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=290699508&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=3&sort=PUBLISHED_DESC
Sandviken | Moderne 2-roms leilighet med nydelig utsikt i et populært område m/gangavstand til sentrum. Lav felleskost!,EIE eiendomsmegling Bergen Sentrum,"Tartargaten 19, Bergen",44,3190000,3280370,1734,Eier (Selveier),Leilighet,1,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310687153
Sentrumsnær studioleilighet. Heis i bygget. Ingen forkjøpsrett. Hvorfor leie når du kan eie?,Proaktiv Småstrandgaten,"Møllendalsbakken 2A, Bergen",22,2100000,2111032,2476,Andel,Leilighet,0,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310654488
MINDE | Sentrumsnær 3-roms leilighet med fantastisk utsikt - Kort avstand til butikk og kollektivtransport.,EiendomsMegler 1 Askøy og Øygarden,"Søndre Skogveien 117B, Bergen",63,2600000,2749983,4000,Aksje,Leilighet,2,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310436642
DOKKEN - Innholdsrik 3-roms leilighet med sentral beliggenhet og bra standard. Perfekt for studenten. Ingen dokumentavgift.,Proaktiv Småstrandgaten,"Bredalsmarken 12, Bergen",68,3295000,3352432,4753,Andel,Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310644538
KRONSTAD - Lekker 3-roms m/moderne standard + attraktiv beligg. på Kronstad | Fra 2013 | Garasjeplass m/elbillader | IN-ordning!,Partners Bergen AS,"Bjørnsons gate 7, Bergen",66,4200000,5196729,7892,Andel,Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310632372
"Sandviken | Rålekker 2-roms leilighet med nærhet til ""alt""! Nyoppusset i 2023 med høy standard! Perfekt førstegangskjøp",EIE eiendomsmegling Bergen Vest,"Søndre Allmenningen 14, Bergen",24,2100000,2192210,1465,Andel,Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310612684
Nær Sentrum - Flott 3-roms selveierleilighet med gangavstand til sentrum. Fast parkeringsplass. Oppusset i 2015.,Eiendomsmegler Vest Bergen Sentrum,"Nylundsveien 37B, Laksevåg",50,2490000,2563920,1300,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310552150
Lekker 2-roms leilighet sentralt i Bergen m/kort vei til alt|Gjennomgående gode kvaliteter og smart planløsning|Bakgård,Eiendomsmegler Vest Landås,"Fredrik Meltzers gate 7, Bergen",37,2590000,2819160,4784,Andel,Leilighet,1,Visning i dag kl 12:00,https://www.finn.no/realestate/homes/ad.html?finnkode=265881287
Kuben | Byggingen er godt i gang | Kun 3 ledige på kaipromenaden i Damsgårdssundet | Takterrasse,KALAND & PARTNERS NYBYGG AS,"Damsgårdsveien 91, Bergen",118,11300000,11312762,0,Eier (Selveier),Leilighet,0,Visning etter avtale,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=262346667&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=3&sort=PUBLISHED_DESC
Kronstad | Lys og fin 3-roms leilighet med gode kvaliteter fra 2014 og egen uteplass! Beliggenhet rett ved bybanen.,Aktiv Bergen Vest,"Bjørnsons gate 20B, Bergen",52,2890000,3164917,3000,Eier (Selveier),Leilighet,2,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310326274
Sentrum / Nordnes - Flott 2-roms i rolig gate på Nordnes. Varmtv. inkl i f.kost. Nytt tak og nye vinduer. Her flytter du rett inn.,Privatmegleren Vest,"Bretterne 1, Bergen",40,3290000,3383492,900,Eier (Selveier),Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310357703
"Unik og lekker toppleilighet med hybel i en av byens flotteste gater. Sentralt, skattefri utleie, ingen dok.avg.",PrivatMegleren Vikebø & Jørgensen,"Parkveien 22 A, Bergen",67,4980000,5399215,6563,Andel,Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310310078
Moderne og tilbaketrukket leilighet midt i sentrumskjernen | Bygg fra 2005 med heis | Stor bakgård,EiendomsMegler 1 Bergen,"Vestre Torggaten 12A, Bergen",34,2890000,2921068,2735,Andel,Leilighet,1,"29. juli, kl 13:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310281792
Herlig bygårdsleilighet med fine kvaliteter og tak fra 2019. Umiddelbar nærhet til alt Bergen sentrum har å by på!,Kaland & Partners - Torgallmenningen Eiendomsmegling,"Magnus Barfots gate 6, Bergen",58,3750000,3854992,625,Eier (Selveier),Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310136783
Damsgård - Flott studioleilighet i byggets toppetasje. Gangavstand til sentrum og studiesteder. Garasjemulighet.,Himla Eiendomsmegling,"Michael Krohns gate 105, Bergen",19,1550000,1830660,4227,Andel,Leilighet,0,"24. juli, kl 14:15",https://www.finn.no/realestate/homes/ad.html?finnkode=310097431
"Damsgård | Strøken leilighet helt i sjøkanten med balkong, nydelig sjøutsikt og felles takterrasse.",EIE eiendomsmegling Bergen Sentrum,"Damsgårdsallmenningen 1, Laksevåg",51,3690000,3792970,1725,Eier (Selveier),Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310058922
"Sandviken | Flott 2(3)-roms med god standard og attraktiv beliggenhet. Gangavstand til ""alt""! Ingen dok.avg, IN-ordning.",Aktiv Bergen Vest,"Sandviksveien 49C, Bergen",55,2790000,3209314,6208,Andel,Leilighet,2,"27. juli, kl 16:15",https://www.finn.no/realestate/homes/ad.html?finnkode=302408183
Sandviken | Sentrumsnær 3(4)-roms leilighet med hems. Attraktiv beliggenhet og koselig felles hage med gode solforhold.,EIE eiendomsmegling Bergen Sentrum,"Sandvikstorget 5, Bergen",64,4190000,4303770,647,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=310035213
Gyldenpris | Romslig og moderne 4-roms leil. med balkong og nydelig utsikt. Nytt kjøkken i 2022 og kort vei til sentrum!,EIE eiendomsmegling Bergen Sentrum,"Lien 76, Bergen",74,3190000,3575100,5125,Andel,Leilighet,3,"24. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=310033174
"Laksevåg/Damsgård - Flott og innbyderne leilighet. Herlig balkong med nydelig utsikt, fast parkeringsplass og kort avstand til buss.",Nordvik Bergen,"Herman Grans vei 35, Laksevåg",49,2450000,2522492,725,Eier (Selveier),Leilighet,1,"24. juli, kl 16:30",https://www.finn.no/realestate/homes/ad.html?finnkode=310003571
Solheimsviken - Sentrumsnær 3-roms leilighet med innglasset balkong | Varmtvann/sentralvarme inkl. i felleskostn | Felles takterrasse,Fana Sparebank Eiendom,"Skoglien 35, Bergen",64,1890000,2877930,7569,Andel,Leilighet,2,"24. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=310026793
Høyden | Flott leilighet med tilhørende hybel i herskapelig bygård. Bo rimelig i en av bergens mest ettertraktede gater!,EIE eiendomsmegling Bergen Sentrum,"Harald Hårfagres gate 33, Bergen",49,3690000,3929889,4535,Andel,Leilighet,0,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=304619612
"Sentral hybelleilighet med gangavstand til Haukeland, Høyskolen og bybanestopp. Stor felles uteplass/terrasse",Garanti Eiendomsmegling Bergen,"Camilla Colletts gate 2, Bergen",19,1850000,1893420,196,Eier (Selveier),Leilighet,0,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=309891744
Attraktiv 3-roms eierleil på idylliske Nordnes | Gangavstand til Bergen sentrum | Sjarmerende beliggenhet i bilfri gate,DNB Eiendom AS,"Strangebakken 9B, Bergen",57,4250000,4357562,542,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=309747241
"Nordnes | Nydelig 3-roms i sjarmerende gate med flotte detaljer, peis og balkong! Må ses!",EIE eiendomsmegling Bergen Sentrum,"Skottegaten 22C, Bergen",70,4690000,4816270,1694,Eier (Selveier),Leilighet,2,"27. juli, kl 15:00",https://www.finn.no/realestate/homes/ad.html?finnkode=304548944
Nordnes | Sjarmerende toppleilighet over to plan med god standard i ett av Bergens flotteste strøk. Fin utsikt. Bør sees,EIE eiendomsmegling Bergen Sentrum,"Bretterne 3, Bergen",55,3650000,3766230,2000,Eier (Selveier),Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=309780182
"Dokken/Møhlenpris - Herlig hjørneleilighet med balkong, utsikt, gode solforhold og fire soverom! Sentrumskjernen og studiesteder like ved.",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Bredalsmarken 16, Bergen",82,4150000,4215682,5588,Andel,Leilighet,4,"24. juli, kl 16:00",https://www.finn.no/realestate/homes/ad.html?finnkode=309753419
NORDNES - Nydelig 3-roms av ypperste klasse i oppusset bygård like ved Nordnesparken | Nyere kjøkken og bad,DNB Eiendom AS,"Abels gate 5, Bergen",47,3700000,3793842,750,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=307112982
SANDVIKEN - Flott 2 (3)-roms leil. i ettertraktet område. Koselig felles bakgård. Gangavstand til sentrum og gode bussforbindelser,Eiendomsmegler Vest Fana,"Kirkegaten 26, Bergen",47,3490000,3586720,1710,Eier (Selveier),Leilighet,1,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=291784134
"8 min fra Bergen sentrum - Leilighet med fine kvaliteter. Altan og hage med gode solforhold! Nydelig utsikt. Gangavstand til Sentrum, UiB og BI",Nordvik Bergen Vest,"Svingen 29, Laksevåg",44,2080000,2541369,4092,Andel,Leilighet,1,"25. juli, kl 14:30",https://www.finn.no/realestate/homes/ad.html?finnkode=307060321
Sentrum | Flott beliggende 4-roms leilighet i rolig smau like bak Bryggen. Perfekt for utleie!,EIE eiendomsmegling Bergen Sentrum,"Wesenbergsmauet 14, Bergen",45,3450000,3545270,500,Eier (Selveier),Leilighet,3,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=309731038
KRONSTAD/BRANN STADION - Flott 3-roms leilighet med attraktiv beligg. like ved Brann Stadion! Leie ut rom til en venn? Perfekt for studenten!,Partners Bergen AS,"Gimleveien 69, Bergen",35,2650000,2725070,926,Eier (Selveier),Leilighet,2,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=309675210
Bergen Sentrum - Fjellsiden - Unik mulighet! Klassisk bygård transformeres til moderne leiligheter med gode kvaliteter og en privat hage,Eiendomsmegler Vest,"Bispengsgaten 25, Bergen",0,0,0,0,Eier (Selveier),Leilighet,2,0,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=264631753&geoLocationName=Bergen&lat=60.3894&lon=5.3300&radius=3000&page=3&sort=PUBLISHED_DESC
SANDVIKEN - Stilfull toppleilighet nyrenovert i 2023. Usjenert takterrasse som bader i sol. Fast parkeringsplass,Eiendomsmegler Vest Bergen Sentrum,"Formanns vei 15B, Bergen",116,7850000,8055720,1197,Eier (Selveier),Leilighet,3,Visning etter avtale,https://www.finn.no/realestate/homes/ad.html?finnkode=297362185
