name,from,address,square_metre,price,total_price,link
"Tomt i ende av blindvei i et etablert boligfelt. Fantastisk utsikt og gode solforhold. Kort vei til ""alt"".",EiendomsMegler 1 Bergen,"Straumsåsen 38, Straumsgrend",733,1990000,2040920,https://www.finn.no/310587044
Nydelig beliggende byggeklar boligtomt i populære Sædalen - landlig og sentralt på en gang - gangavstand til barneskolen,Privatmegleren Vest,"Rinddalen tomt 2, Bergen",705,1600000,1648842,https://www.finn.no/309630935
"Heiane | Stor tomt med attraktiv beliggenhet, gode solforhold og utsikt over Banntjørna. Stort potensiale!",EIE eiendomsmegling Bergen Sentrum,"Tomt heiane, Nyborg",1068,2200000,2269020,https://www.finn.no/309134531
Ytre Arna - Tomt med god beliggenhet og nydelig utsikt. Rammetillatelse foreligger for enebolig med utleiedel,Privat,"Peter Jebsens veg, Ytre Arna",593,750000,770000,https://www.finn.no/170864459
Unik byggeklar utsikts-tomt i Mathopen! IG gitt til å bygge et råtøft funkis hus på 349 m2! Sjøtomt medfølger!,Kaland & Partners - Vestkanten Eiendomsmegling AS,"Storingavika 96, Mathopen",1395,4990000,5130992,https://www.finn.no/307552298
STRAUMSGREND - Byggeklar tomt med rammetillatelse til oppføring av funkishus,Eiendomsmegler Vest Bergen Sentrum,"Straumsåsen 20, Straumsgrend",896,2990000,3065920,https://www.finn.no/307439152
Flott solrik tomt på Hordnes | Nærhet til sjø og bademuligheter | Barnevennlig område,Eiendomsmegler Vest Nesttun,"Hordnesvegen 250 bnr 317, Fana",641,1600000,1657070,https://www.finn.no/306589096
"Glasskaret | Stor tomt i populært område med utsikt, gode solforhold og nærhet til både Åsane og Bergen sentrum!",EIE eiendomsmegling Bergen Sentrum,"Tomt Glasskaret, Øvre Ervik",664,1290000,1323620,https://www.finn.no/307003470
Ytre Morvik | Seksjonert boligtomt i veletablert nabolag. Godkjent rammetillatelse for enebolig over 2 etasjer.,EIE eiendomsmegling Bergen Nord,"Lokketodalen 21A, Mjølkeråen",500,1500000,1538870,https://www.finn.no/305723570
"Utsiktstomt, Ytre Arna",Privat,"Sætrefjellet, Ytre Arna",1127,990000,0,https://www.finn.no/252915944
Godvik | Flott tomt i naturskjønneomgivelser kort vei til skole og turmuligheter. Ca. 5 min unna Vestkanten Storsenter,EIE eiendomsmegling Bergen Vest,"Alvøveien 71, Godvik",827,1750000,1795120,https://www.finn.no/304239563
Stor hellende solrik tomt med en fantastisk storslagen utsikt mot sørvest. Man ser til Austevoll i det fjerne. Bør sees!,PrivatMegleren Syd,"Rosenlundveien 50, Fyllingsdalen",1530,2890000,2971092,https://www.finn.no/302964781
En fantastisk mulighet! Rammetillatelse på oppføring av enebolig over to plan. Stor tomt med dobbelgarasje og naust.,Aktiv Laguneparken,"Slettenvegen 101, Blomsterdalen",1166,8900000,9121142,https://www.finn.no/295950864
Stor boligtomt med flott og sentral beliggenhet i barnevennlig område! Gode solforhold og nydelig utsikt.,Kaland & Partners - Torgallmenningen Eiendomsmegling,"Vestre Drotningsvik 56A (Tomt), Godvik",603,1600000,1650242,https://www.finn.no/300383463
"Ferdig planert tomt, med rammetillatelse til oppføring av Enebolig m/utleie. Populært boligområde med kort vei til skole",Nordvik Bergen,"Smøråsvegen 46, Rådal",846,3500000,3596342,https://www.finn.no/299236528
Bygge hus? Nydelig beliggende boligtomt  i Sædalen - barnevennlig nær barneskole - super utsikt over fjell og nærmiljø,Privatmegleren Vest,"Rinddalen, Bergen",794,1600000,1648842,https://www.finn.no/294386127
"Vestvendt, solrik tomt i et etablert boligområde. Bygg din drømmebolig i landlige omgivelser, med kort vei til Lagunen",Nordvik Bergen Vest,"Øvre Titlestad, Fana",461,490000,511092,https://www.finn.no/294204587
Hylkje | Boligtomt i attraktivt og etablert boområde - Flotte utsiktsforhold - kort kjøretur til Åsane senter,EIE eiendomsmegling Bergen Sentrum,"Tomt Hylkje, Hylkje",10184,1500000,1551520,https://www.finn.no/289585484
Stor flott tomt med rivingsklar bolig. Gode solforhold og sentral beliggenhet.,PrivatMegleren Syd,"Blomstølvegen 1, Blomsterdalen",884,1790000,1852592,https://www.finn.no/287184646
Stor flott tomt med rivingsklar bolig. Gode solforhold og sentral beliggenhet.,PrivatMegleren Syd,"Blomstølvegen 1, Blomsterdalen",884,1790000,1852592,https://www.finn.no/287174360
"Godvik - Boligtomt på 7,7 mål regulert til 5 eneboliger. Attraktiv og barnevennlig beliggenhet. Kort vei til Vestkanten.",Kaland & Partners - Torgallmenningen Eiendomsmegling,"Tomt Godvikveien, Godvik",7731,5500000,5653742,https://www.finn.no/285617802
"HORDVIKNESET - UTSIKTSFYLT TOMT MED KORT VEI TIL ALT - NB NY PRIS, BUD ØNSKES",Harris Advokatfirma AS,"Hordvikneset, Hordvik",17247,5500000,5644920,https://www.finn.no/283510465
Stor boligtomt med flott beliggenhet på Hylkje. Gode solforhold og nydelig utsikt over Sørfjorden.,PrivatMegleren Vikebø & Jørgensen,"Hylkjebakken 22, Hylkje",1633,1490000,1536092,https://www.finn.no/280475069
"2 stk tomter med landlig beliggenhet på Hordvikneset! Gangavstand til buss, skole og bhg. - Båtfesterett - Sjøutsikt!",Nordic Bolig Bergen,"Balane, Hordvik",635,650000,667420,https://www.finn.no/278846568
GODVIK - Tomt med meget sentral beliggenhet i Godvik -  Gangavstand til alt,Eiendomsmegler Vest Askøy,"Tomt Godvik, Godvik",833,1200000,1244270,https://www.finn.no/278055306
Flott sjøtomt beliggende i Leirvika i Godvik,Fana Sparebank Eiendom,"Leirvika, Godvik",80,490000,516720,https://www.finn.no/263244749
Åsane | Spennende og romslig tomt med godkjent rammetillatelse for enebolig på over 200 kvm over 2 etasjer.,EIE eiendomsmegling Bergen Sentrum,"Sæterstølvegen 25, Nyborg",1918,1950000,2012770,https://www.finn.no/255578996
Øvre Tellevik - Tomteområde med godkjent reguleringsplan for 32 boligenheter - solrik og attraktiv beliggenhet,Eiendomsmegler Vest,"Øvre Tellevik, Hordvik",10436,8000000,8201170,https://www.finn.no/254031693
Utsiktstomt i Ytre Arna | Avsatt til boligformål i kommunedelplan,PrivatMegleren Syd,"Peter Jebsens veg, Ytre Arna",684,790000,811092,https://www.finn.no/250879370
Stor utsiktstomt med nydelig beliggenhet i Morvik. Panoramautsikt over Byfjorden og sol til langt på kveld,PrivatMegleren Vikebø & Jørgensen,"Kollbulia 28, Morvik",906,2490000,2553592,https://www.finn.no/250788193
Tomt ved Storetveitvegen i byfortettingssone (BY) på hele 1450 kvm.,Proaktiv Småstrandgaten,"Storetveitvegen 168, Paradis",1451,0,0,https://www.finn.no/249810196
Valle | Boligtomt i attraktivt og etablert boområde - Fantastiske utsiktsforhold - Usjenert og landlig,EIE nybygg Bergen,"Nordre Vallavegen, Nesttun",746,1000000,1039020,https://www.finn.no/249268745
Unik mulighet! Stort tomteområdet på Hjellestad vurderes solgt! Flotte sol og utsiktsforhold. Sjelden sjanse!,Eiendomsmegler Vest Landås,"Hjellestad, Hjellestad",32830,6000000,6162670,https://www.finn.no/239252962
"Idyllisk tomt innerst i en blindvei med grense ved Arboretet. Familievennlig gate, gange til både barnehage og skole.",EiendomsMegler 1 Fana,"Mildevegen Tomt, Hjellestad",1160,2290000,2348420,https://www.finn.no/173100100
Sjelden og sentral tomt i Birkelundsbakken,Coplan AS,"Birkelundsbakken 17, Paradis",1235,750000,776500,https://www.finn.no/163732475
Sentral og attraktiv boligtomt i Åsane - populært og barnevennlig område - gode sol og utsiktsforhold - Bør sees!,Kaland & Partners - Vestland Eiendomsmegling,"Åslia 61, Ulset",1070,2980000,3065742,https://www.finn.no/156832367
